CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas,,,,,,,,,,,,,,,,,,
Boynton Beach,from Congress Avenue towards Seacrest Boulevard onto Gateway Boulevard looping back to Congress Avenue,Palm Beach,FL,US,2020-06-01,dozens,,,,,,general protesters,antiracism; against police brutality,1,march,0,0,0,0,1,1,https://cbs12.com/news/local/dozens-of-protesters-gather-in-boynton-beach,,,,0,,,,,,,,,,,,,,,,,,
Bradford,Veterans Square,McKean,PA,US,2020-06-01,roughly 15,15,,15,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,http://www.bradfordera.com/bradford/protesters-organize-at-veterans-square/article_5c2a5995-7d44-57b0-b776-9fa822fa7347.html,,,,,,,,,,,,,,,,,,,,,,
Breckinridge,Riverwalk Center,Summit,CO,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/TigerDaddy0307/status/1267562371721179136,https://www.summitdaily.com/news/crowd-gathers-in-breckenridge-to-peacefully-protest-racial-injustice/,,,0,,,,,,,,,,,,,,,,,,
Brevard,,Transylvania,NC,US,2020-06-01,,,,,,,NAACP,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/annehelen/status/1267840855223631872,,,,,,,,,,,,,,,,,,,,,,
Bridgewater,Central Square,Plymouth,MA,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.enterprisenews.com/news/20200606/brockton-area-communities-rally-for-racial-justice-in-solidarity,,,,,,,,,,,,,,,,,,,,,,
Bristol,in front of police department,Hartford,CT,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/autumnklem/status/1267524570489241602,https://www.nbcconnecticut.com/news/local/were-demanding-give-us-justice-more-ct-rallies-push-for-change-justice-for-george-floyd/2280584/?_osource=db_npd_nbc_wvit_twt_shr,https://www.newsbreak.com/connecticut/bristol/news/0PDMrMY0/hundreds-rally-chant-i-cant-breathe-in-bristol-during-peaceful-protest-of-george-floyd-death,http://www.bristolpress.com/BP-Bristol+News/373157/peaceful-protests-in-several-area-towns-planned-over-next-two-days,0,,,,,,,,,,,,,,,,,,
Bristol,at the State Street sign; also Bristol VA,Sullivan,TN,US,2020-06-01,,,,,,,Sullivan County Democratic Party,antiracism; against police brutality,1,vigil,0,0,0,0,1,1,https://twitter.com/swadely/status/1267620688883527683,https://www.heraldcourier.com/news/candles-masks-mark-bristol-vigil-for-george-floyd/article_a7aed62e-91fa-548c-93e6-2d0a19c10731.html,,"includes Bristol, VA",,,,,,,,,,,,,,,,,,,
Brockton,City Hall,Plymouth,MA,US,2020-06-01,,,,,,,clergy,antiracism; against police brutality,1,prayer vigil,,,,,1,1,https://www.enterprisenews.com/news/20200606/brockton-area-communities-rally-for-racial-justice-in-solidarity,,,,,,,,,,,,,,,,,,,,,,
Brownwood,City Hall,Brown ,TX,US,2020-06-01,more than 200,200,,200,,,Brownwood Chapter of Black Lives Mattter,antiracism; against police brutality,1,march,0,0,0,0,1,1,https://twitter.com/texasjenny/status/1268582576408735746,https://www.brownwoodnews.com/2020/06/01/black-lives-matter-conducts-peaceful-protest/,,,,,,,,,,,,,,,,,,,,,
Bryan,Texas Avenue,Brazos,TX,US,2020-06-01,more than 600,600,,600,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.theeagle.com/news/local/bryan-demonstration-against-racism-police-violence-draws-hundreds/article_7de53bc4-a3bc-11ea-bf9b-4fa484ecd8b1.html,,,,,,,,,,,,,,,,,,,,,,
Buffalo,,Erie,NY,US,2020-06-01,,,,,,,general protestors,antiracism; against police brutality,1,protest,2,1,3,0,1,1,https://buffalonews.com/news/local/woman-charged-with-injuring-trooper-at-protest-was-denied-call-after-arrest-mom-says/article_ea331b15-ff27-5362-aecc-2cdccd7b44a2.html,,,,,,,,,,,,,,,,,,,,,,
Bullhead City,the intersection of Hancock Road and Lakeside Drive,Mohave,AZ,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,http://www.mohavedailynews.com/news/city-explains-approach-to-enforcement-of-state-curfew-order/article_c89ad670-a55f-11ea-b177-4b4d4a5c5a0e.html,,,,0,,,,,,,,,,,,,,,,,,
Calexico,Imperial County Courthouse,Imperial,CA,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://calexicochronicle.com/2020/06/imperial-valley-news/blm-peaceful-protest-takes-place-at-courthouse/,,,,,,,,,,,,,,,,,,,,,,
Caribou,"Caribou Public library parking lot, to Herschel Street and around to the Carubou Police Station, then to the end of High Street before looping back to the library, and then conitnued on the grass adjacent to the intersection of High and Main streets",Aroostook,ME,US,2020-06-01,nearly 40  ,40,,40,,,general protestors,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://thecounty.me/2020/06/02/news/peaceful-protest-for-george-floyd-held-in-caribou/,,,,0,,,,,,,,,,,,,,,,,,
Carleton,Ash-Carleton Park to the corner of Monroe St and Grafton Rd and to the Speedway gas station,Monroe,MI,US,2020-06-01,about 20,20,,20,,,general protestors,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.monroenews.com/news/20200604/carleton-area-residents-rally-for-black-lives-matter,,,,0,,,,,,,,,,,,,,,,,,
Carmel,Arts and Design District ,Hamilton,IN,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,1,1,1,https://www.indystar.com/story/news/local/hamilton-county/carmel/2020/06/02/carmel-indiana-issues-tuesday-night-curfew/3126110001/,,,,,,,,,,,,,,,,,,,,,,
Carol Stream,Carol Stream Police Station ,DuPage,IL,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/carol_stream/status/1267819375618211841,,,,,,,,,,,,,,,,,,,,,,
Carrollton,Alabama street near courthouse,Carroll,GA,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.fox5atlanta.com/news/carrollton-police-officers-dance-to-cupid-shuffle-with-protesters,,,,,,,,,,,,,,,,,,,,,,
Castro Valley,Redwood and Castro Valley blvd,Alameda,CA,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://sanfrancisco.cbslocal.com/video/4573606-demonstrators-hold-peaceful-but-loud-protest-in-castro-valley/,,,,,,,,,,,,,,,,,,,,,,
Centerville,From stubbs park towards Route 48 along Spring Valley Road,Montgomery ,OH,US,2020-06-01,a few hundred,300,,300,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.daytondailynews.com/news/local/centerville-marchers-protest-george-floyd-death/wOfN6UCf7wgXFRCVx5n92M/,,,,0,,,,,,,,,,,,,,,,,,
Cerritos,Gridley Park; Cerritos Sheriff's Station,Los Angeles,CA,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,http://lmlamplighter.com/hundreds-attend-floyd-protests-in-cerritos/,,,,,,,,,,,,,,,,,,,,,,
Chambersburg,,Franklin,PA,US,2020-06-01,over 75,75,,75,,,general protestors,antiracism; against police brutality,1,protest,,,,,1,1,https://www.publicopiniononline.com/story/news/local/2020/06/01/chambersburg-citizens-protest-solidarity-black-lives-matter/5312171002/,,,,,,,,,,,,,,,,,,,,,,
Champaign,Police Station ,Champaign,IL,US,2020-06-01,,,,,,,Black Lives Matter,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/DLakemacher/status/1267700118024794112,,,,,,,,,,,,,,,,,,,,,,
Chandler,Arizona Avenue,Maricopa,AZ,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.12news.com/article/news/community/chandler-police-officer-seen-handing-out-water-to-protesters/75-6207e34b-ded0-4b56-8c06-756ad8ada6d5,,,,,,,,,,,,,,,,,,,,,,
Charleston,,Charleston,SC,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/larrydennisii/status/1267630054638583811,,,,,,,,,,,,,,,,,,,,,,
Charlotte,Myers Park,Mecklenburg,NC,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,March,27,0,0,1,1,1,https://twitter.com/charlotteagenda/status/1267593521164357632,https://twitter.com/queencitynerve/status/1267619774818914306,https://www.wcnc.com/article/news/live_breaking/charlotte-north-carolina-protests-george-floyd-sunday-june-1/275-34ed412c-237e-4971-bf02-3c72bea6b98d,Justice Walk,1,,,,,,,,,,,,,,,,,,
Chattanooga,,Hamilton,TN,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/WLAKEnews/status/1267658925702295553,,,,,,,,,,,,,,,,,,,,,,
Chehalis,County Courthouse,Lewis,WA,US,2020-06-01,upwards of 300,300,,300,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,http://www.chronline.com/news/more-than-300-people-kneel-in-chehalis-in-second-demonstration-against-police-brutality-racism/article_7b9a85e8-a4f4-11ea-b710-1f37a1472569.html,,,,0,,,,,,,,,,,,,,,,,,
Chester,once-empty parking lot ,Chester,SC,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.wbtv.com/2020/06/01/hundreds-chester-sc-including-cops-rally-against-police-violence-vow-change/,,,,0,,,,,,,,,,,,,,,,,,
Chicago,"Uptown, near Lake Shore Drive",Cook,IL,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,march,,,,,1,1,https://twitter.com/RichieRequena/status/1267623062901534722,https://twitter.com/mandophotos/status/1267601565726191618,,,,,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
Chicago,47th @ Calumet; Bronzeville,Cook,IL,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,https://twitter.com/LeagueOfExtra/status/1267454106916065281,,,,,,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
Cincinnati,County Courthouse,Hamilton,OH,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,50,0,0,0,1,1,https://www.cincinnati.com/story/news/2020/06/04/arrest-sisters-cincinnati-protest-goes-viral-cpd-responds/3148509001/,,,,,,,,,,,,,,,,,,,,,,
Claremont,Corner of indian hill and foot hill blvds,Los Angeles,CA,US,2020-06-01,over 100,100,,100,,,Claremont Disarm Hate,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.claremont-courier.com/articles/news/t37511-protest,,,,,,,,,,,,,,,,,,,,,,
Cleburne,Yellow Jacket Stadium,Johnson,TX,US,2020-06-01,about 20,20,,20,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.cleburnetimesreview.com/news/stronger-together-cleburne-protestors-determined-peaceful/article_1f7faa9a-a503-11ea-82b2-4780aad57423.html,,,,,,,,,,,,,,,,,,,,,,
Coeur d'Alene,Apple Ave near Winco,Kootenai,ID,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest; demonstrator,0,0,0,0,1,1,https://www.kxly.com/black-lives-matter-protesters-demonstrating-in-coeur-dalene-additional-group-there-to-protect-idaho/pic/1090678/,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,in front of city hall,El Paso,CO,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://twitter.com/courtney_fromm/status/1267229983258415106,,,,,,,,,,,,,,,,,,,,,,
Columbia,,Marion,MS,US,2020-06-01,count pic,12,,12,,,general protesters,antiracism; against police brutality,1,protest,0,2,0,0,1,1,https://twitter.com/ashtonpittman/status/1268355562976264193,https://www.columbiatribune.com/news/20200619/prosecutors-seek-more-info-on-collisions-at-june-1-protest,,,,,,,,,,,,,,,,,,,,,
Columbus,,Franklin,OH,US,2020-06-01,Hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://twitter.com/bairdimages/status/1267976331612037120,https://www.dispatch.com/news/20200601/peaceful-protests-resume-in-downtown-columbus,,,1,,,,,,,,,,,,,,,,,,
Commack,Jericho Turnpike,Suffolk ,NY,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://abc7ny.com/long-island-protests-george-floyd-protest-jericho-turnpike-commack/6225622/,,,,,,,,,,,,,,,,,,,,,,
Coral Gables,,Miami-Dade,FL,US,2020-06-01,,,,,,,general protesters,antiracism; against police brutality,1,rally,,,,,1,1,https://twitter.com/Lydia_Canaan/status/1267454250143158272,,,,,,,,,,,,,,,,,,,,,,
Corona,Santana Park,Riverside,CA,US,2020-06-01,hundreds,200,,200,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.pe.com/2020/06/01/hundreds-gather-in-corona-to-hear-speeches-march-in-protest-of-george-floyd-death/,,,,,,,,,,,,,,,,,,,,,,
